noise_std,trace_mean,delta_trace_pct,logdet_mean,delta_logdet,off_diag_mean,delta_off_pct,accuracy_mean,delta_accuracy_pct
0.05,0.0005119999987073243,0.0,-7073.5400390625,0.0,4.143158377225458e-09,-5.313987375762381,0.7142857142857143,15.384615384615383
0.1,0.0005119999987073243,0.0,-7073.5400390625,0.0,4.263704764912155e-09,-2.5590705352547136,0.6666666666666666,7.692307692307683
0.2,0.0005119999987073243,0.0,-7073.5400390625,0.0,4.07275595259464e-09,-6.92293500953222,0.6666666666666666,7.692307692307683
0.35,0.0005119999987073243,0.0,-7073.5400390625,0.0,3.9558983390618e-09,-9.593550144843192,0.6666666666666666,7.692307692307683
